name,diet,meal_type,cal,fat,carb,protein
Cranberry Apple Granola Bites,balanced,breakfast,274,11,42,7
Whole Wheat Quinoa Flour Pancakes recipes,balanced,breakfast,233,7,32,9
Pumpkin French Toast Recipe,balanced,breakfast,156,5,21,8
Almond Butter Quinoa Granola recipes,balanced,breakfast,660,27,88,21
Cheesy Leftover Mashed Potato Pancakes r2,balanced,breakfast,123,6,15,4
Popovers recipes,balanced,breakfast,142,6,18,6
Cinnamon French Toast,balanced,breakfast,204,9,21,7
Healthy Chinese Food: 5 Must-Have Ingredients to Include in Your Diet,balanced,breakfast,205,7,29,5
Simple Spelt Pancakes recipes,balanced,breakfast,311,10,47,10
Savory Cheddar Bread,balanced,breakfast,122,5,14,5
whole wheat blueberry pancakes + the secre,balanced,breakfast,159,6,23,5
All you need to Know About Vegan Protein,balanced,breakfast,101,3,18,3
Triple Corn Quick Bread,balanced,breakfast,268,11,34,9
Cheesy Zucchini Protein Pancakes (Yum!),balanced,breakfast,214,10,24,9
Pumpkin Pie Pancakes recipes,balanced,breakfast,276,13,32,9
French Toast,balanced,breakfast,112,4,14,4
Oatmeal & Greek Yogurt Pancakes 0 recipes,balanced,breakfast,445,19,54,15
Crunchy Nut and Apple Oatmeal,balanced,breakfast,102,3,17,3
Apple & Peanut Butter Swirl Snack Squares,balanced,breakfast,317,13,44,9
Vegetarian Breakfast Pizza,balanced,breakfast,523,22,57,24
"Achari Jhinga Recipe, How to make Achari J",high-protein,breakfast,91,2,5,14
Sweet and Tangy Turkey,high-protein,breakfast,325,13,8,41
Uni Scrambled Eggs,high-protein,breakfast,130,7,1,17
Prawns Omelette 虾仁炒蛋,high-protein,breakfast,106,2,7,15
Protein Shake,high-protein,breakfast,87,1,7,13
The Works,high-protein,breakfast,107,4,4,14
Butternut Squash & Spinach Breakfast Bake recipes,high-protein,breakfast,56,0,6,7
Crayfish Bake Recipe,high-protein,breakfast,850,34,6,110
Homemade Ground Turkey Breakfast Sausage recipes,high-protein,breakfast,685,35,3,90
Chicken Parm Panini,high-protein,breakfast,213,7,9,27
Lemony Blueberry Mango Smoothie,high-protein,breakfast,195,3,18,25
Skinny Frappuccino,high-protein,breakfast,121,1,19,18
Turkey Breakfast Patties,high-protein,breakfast,177,7,3,25
Vietnamese Cha Tom recipes,high-protein,breakfast,189,8,6,25
A Pear Sunflower Smoothie,high-protein,breakfast,87,1,7,13
5 Ingredient Vegan Ricotta,high-protein,breakfast,182,9,7,23
Day 3 and 4- More Of The Same and Antipasto Snack Pack {Recipe},high-protein,breakfast,154,4,3,25
Protein Pancakes,high-protein,breakfast,117,5,2,15
5. Oatmeal recipes,high-protein,breakfast,653,14,0,122
Amaretto Mocha Protein Drink,high-protein,breakfast,95,0,8,14
Hot Molten Blobs,low-carb,breakfast,317,24,9,17
PALEO SCOTCH EGGS,low-carb,breakfast,273,22,4,14
"Ham, Egg & Cheese Muffin Cups",low-carb,breakfast,140,9,3,11
Peanut Butter Pancakes recipes,low-carb,breakfast,483,38,24,15
Cheesy Chorizo Breakfast Casserole,low-carb,breakfast,211,15,6,12
Biscuits And Gravy,low-carb,breakfast,503,36,23,22
Breakfast Egg Rolls recipes,low-carb,breakfast,1384,127,39,20
"Kashmiri dum aloo recipe, how to make kash",low-carb,breakfast,44,5,1,0
Southern Sausage Gravy recipes,low-carb,breakfast,587,48,15,24
Bacon Hashbrown Breakfast Casserole Recipe,low-carb,breakfast,285,23,10,9
Roasted Sweet Potato Paleo Breakfast Hash recipes,low-carb,breakfast,385,28,20,15
Ham & Cheese Twists recipes,low-carb,breakfast,446,35,16,17
Apple Pie Omelet,low-carb,breakfast,125,10,1,7
Sour Cream Breakfast Casserole,low-carb,breakfast,576,42,21,29
Exotic Mushroom Pate recipes,low-carb,breakfast,120,12,3,2
Herb Crusted No-Knead Artisan Bread recipes,low-carb,breakfast,1785,111,51,138
Polidori Sausage Breakfast Muffins,low-carb,breakfast,278,18,12,16
New Mexico Turkey Ham & Green Chili Breakfast Omelette Bake recipes,low-carb,breakfast,1747,126,28,120
Air Fryer Keto Pumpkin Pancakes,low-carb,breakfast,160,13,7,7
Sea bream in crazy water (Orata all’acqua pazza),low-carb,breakfast,374,19,6,41
Strawberry Pineapple Smoothie,low-fat,breakfast,216,3,31,18
3-Ingredient Healthy Cooked Apples,low-fat,breakfast,323,1,84,1
Slow Cooker Apple-Cranberry Oatmeal,low-fat,breakfast,281,3,63,6
Try This Collagen Smoothie for Healthy and Young Skin,low-fat,breakfast,160,3,28,4
Gingerbread Pancakes,low-fat,breakfast,135,2,27,5
Vegan Soda Bread,low-fat,breakfast,192,1,40,7
Anadama Bread,low-fat,breakfast,156,1,32,6
Audrey's Golden Peach Butter,low-fat,breakfast,389,1,100,3
Pumpkin Ginger Jam,low-fat,breakfast,271,0,70,1
Homemade Sour Cherry Jam,low-fat,breakfast,1170,2,299,5
Strawberry Waffles,low-fat,breakfast,186,3,35,7
Blueberry Pancakes (Cooking For 2) recipes,low-fat,breakfast,172,3,31,7
Red Cabbage Blueberry Smoothie,low-fat,breakfast,207,2,46,7
Zucchini Waffles,low-fat,breakfast,393,6,72,13
Banana-Orange Smoothie,low-fat,breakfast,178,1,38,7
Pancakes,low-fat,breakfast,206,3,35,9
Grapefruit Pineapple Smoothie,low-fat,breakfast,260,1,66,4
Amazing Pretzels [for Lent] Recipe,low-fat,breakfast,94,1,20,3
Pumpkin Breakfast Cookies,low-fat,breakfast,249,4,48,8
Ricotta and Banana on Toast (21 Day Wonder Diet: Day 10),low-fat,breakfast,140,2,30,3
Breakfast Sweet Potato Cakes,balanced,breakfast,170,6,23,7
Chocolate Stuffed French Toast,balanced,breakfast,412,20,49,13
Stuffed Sweet Potato Breakfast Bowl,balanced,breakfast,277,8,46,8
Peanut Butter & Chia Berry Jam English Muffin,balanced,breakfast,279,10,43,10
Tropical Shake,balanced,breakfast,159,6,21,6
Creamy Orange-Coconut Smoothie,balanced,breakfast,123,4,19,4
Easy Hot Chocolate Recipe with Cocoa,balanced,breakfast,137,4,25,4
Georgie’s Buttermilk Waffles,balanced,breakfast,233,9,32,7
Gluten Free Chickpea Pancakes or Flatbread,balanced,breakfast,140,7,14,5
Spiced Corn Muffins,balanced,breakfast,165,6,23,5
Whole Wheat Pancakes and Nectarines,balanced,breakfast,199,6,31,7
Watermelon Smoothie recipes,balanced,breakfast,121,6,15,4
Bisquick® Banana Nut Bread recipes,balanced,breakfast,766,24,121,21
Banana Yogurt Smoothie,balanced,breakfast,163,5,28,4
Perfect Fluffy Pancakes,balanced,breakfast,212,9,27,5
Whole wheat pumpkin pancakes,balanced,breakfast,108,4,15,3
Overnight Oats,balanced,breakfast,179,5,30,6
10 Minute Chia Jam recipes,balanced,breakfast,58,3,7,2
Pineapple Yogurt,balanced,breakfast,292,14,38,8
Whole Wheat and Flax Waffles,balanced,breakfast,270,12,33,10
Total 10 Turkey Breakfast Sausage recipes,high-protein,breakfast,173,9,1,23
Rabbit Breakfast Sausage Recipe 5,high-protein,breakfast,506,23,3,68
High Protein Chocolate Smoothie: No Sugar,high-protein,breakfast,94,4,6,12
Knock-Off Starbuck’s Egg White Bites,high-protein,breakfast,93,3,3,14
Mexican Sliders,high-protein,breakfast,192,7,6,25
Blueberry Protein Muffins recipes,high-protein,breakfast,536,12,41,68
Weight Watchers Chicken Breakfast Sausage recipes,high-protein,breakfast,49,1,1,9
Chinese Green Tea,high-protein,breakfast,0,0,0,0
Strawberry Mint Smoothie,high-protein,breakfast,206,2,28,26
Healthy Egg White Breakfast Cups recipes,high-protein,breakfast,70,0,2,14
Leftover Turkey Kabobs and an $800 Giveaway! recipes,high-protein,breakfast,62,2,2,8
Blue swimmer crab omelette with sorrel,high-protein,breakfast,360,17,3,47
"Nif's 1 Ww Pt. Light, Low Fat Mushroom Spinach Omelette (Omelet)",high-protein,breakfast,66,2,3,10
Tuna & Bok Choy Packets,high-protein,breakfast,186,5,2,32
Dashi Stock,high-protein,breakfast,3,0,0,0
Skinny Peppermint Patty Shake recipes,high-protein,breakfast,311,9,20,39
Pick-Up Saltfish,high-protein,breakfast,187,5,6,28
Tofu Scramble: Breakfast of (vegan) Champi,high-protein,breakfast,53,1,6,8
Egg White Salsa Omelet,high-protein,breakfast,72,0,7,10
Prawn and veggie omelette for 1,high-protein,breakfast,96,1,4,19
Savory Macadamia Nuts,low-carb,breakfast,150,16,3,2
Egg Omelette Recipe,low-carb,breakfast,412,33,5,24
Perfect Hard Boiled Eggs (Technique),low-carb,breakfast,107,7,1,9
Crock Pot Spinach Special,low-carb,breakfast,255,17,10,17
Breakfast Omelette (Ww),low-carb,breakfast,205,12,7,17
Beef Liver Pate,low-carb,breakfast,177,14,4,5
Hatch Green Chile and Cheddar Cheese Egg Muffins,low-carb,breakfast,155,11,2,12
Vegie lavash spirals,low-carb,breakfast,424,27,23,24
Sausage Gravy,low-carb,breakfast,249,18,10,13
Sausage Sliders with Spinach and Peppers,low-carb,breakfast,153,9,6,13
Huevos Rancheros,low-carb,breakfast,274,18,14,16
Saffron and Tomato Shakshuka recipes,low-carb,breakfast,186,12,9,11
COCONUT PEACH SLOW COOKER STEEL CUT OATS,low-carb,breakfast,228,19,14,4
Crisp Savory Almonds,low-carb,breakfast,311,26,11,14
Spicy Pineapple Peach Smoothie,low-carb,breakfast,535,49,29,6
Ultimate Reeces Peanut Butter Banana Bread Recipe,low-carb,breakfast,1311,126,46,6
Goat Cheese Scrambled Eggs recipes,low-carb,breakfast,249,19,3,16
Cinnamon Butter on Toast,low-carb,breakfast,188,18,6,1
Start the Day Smoothie,low-carb,breakfast,680,58,40,13
Sage-Mustard Breakfast Sausage,low-carb,breakfast,448,38,6,20
Small Batch Fresh Strawberry Jam,low-fat,breakfast,232,0,59,1
Frankenstein Smoothie Bowl recipes,low-fat,breakfast,114,1,28,2
Berrylicious Strawberry Smoothie Blast - Low Cal Frozen Treat recipes,low-fat,breakfast,139,1,34,2
Spiced Cherry Preserves,low-fat,breakfast,48,0,12,0
Green Monster Smoothie Recipe,low-fat,breakfast,81,1,20,2
Chocolate Breakfast Cake,low-fat,breakfast,78,1,8,9
Pumpkin-Ginger Waffles,low-fat,breakfast,169,3,31,8
5-Minute Homemade Apple Cinnamon Oatmeal,low-fat,breakfast,269,3,60,6
Bagels recipes,low-fat,breakfast,470,1,99,13
Pumpkin Bagels #SundaySupper,low-fat,breakfast,262,2,53,9
Small Batch Vanilla Rhubarb Jam,low-fat,breakfast,231,0,58,1
Green Raw Breakfast or Snack Juice,low-fat,breakfast,282,1,71,5
Green Carrot Juice Recipe,low-fat,breakfast,205,2,44,5
Cantaloupe Jam,low-fat,breakfast,214,1,55,2
Fast Breakfast Omelet Muffins,low-fat,breakfast,196,2,40,6
Low-Fat Strawberry Date Smoothie recipes,low-fat,breakfast,416,2,103,7
Plum Jam,low-fat,breakfast,402,0,103,1
Cinnamon Raisin Bread recipes,low-fat,breakfast,270,4,53,8
Papaya Sago Soy Milk recipes,low-fat,breakfast,177,2,35,5
Naturally Sweetened Strawberry Smoothie with Yogurt recipes,low-fat,breakfast,287,3,53,16
Stuffed Potato Pancakes - Draniki (VIDEO),balanced,breakfast,130,6,15,5
Blueberry Banana Pancakes,balanced,breakfast,237,9,32,7
Pumpkin Cheesecake French Toast Bake,balanced,breakfast,254,12,30,8
Blackberry Farm Griddle Cakes,balanced,breakfast,351,14,49,9
Huevos Rancheros Breakfast Bowls,balanced,breakfast,777,29,108,23
Apple Ricotta Stuffed French Toast,balanced,breakfast,233,11,27,9
Pumpkin Maple Overnight Oats,balanced,breakfast,192,8,28,5
Healthy Berry Drink,balanced,breakfast,154,5,26,4
Ricotta rice and berry pancakes,balanced,breakfast,167,6,21,7
Eggless French Toast,balanced,breakfast,131,4,18,5
Ginger Oatcakes,balanced,breakfast,231,8,32,8
Spoon Bread recipes,balanced,breakfast,178,8,20,7
Spicy Oatmeal and Kale,balanced,breakfast,375,12,54,14
Cinnamon-y Oatmeal Flax Muffins,balanced,breakfast,200,8,28,5
Chai Chia Oat Pudding,balanced,breakfast,115,5,15,3
Easy Pumpkin Pancakes recipes,balanced,breakfast,211,8,29,5
Mini Blueberry + Rosemary Breakfast Bars recipes,balanced,breakfast,367,12,59,10
"Blueberry Pancakes (Plus, Can you Make Pancakes with a Stainless Steel Pan?)",balanced,breakfast,247,8,36,7
Oatmeal And Wheat Flour Blueberry Pancakes,balanced,breakfast,292,11,40,10
Carrot Cake Couscous Breakfast Porridge recipes,balanced,breakfast,500,15,77,15
Low Carb Protein Waffles,high-protein,breakfast,130,1,8,20
Breakfast Patties Recipe 5,high-protein,breakfast,85,4,0,11
Clean Eating Turkey Breakfast Sausage,high-protein,breakfast,218,11,2,28
Asparagus Prosciutto Pancakes recipes,high-protein,breakfast,1117,52,7,145
Maryland Pit Beef on the Char-Broil Big Ea,high-protein,breakfast,290,14,1,37
Spinach and Mushroom Scramble,high-protein,breakfast,76,0,5,13
Strawberry Yogurt Smoothie,high-protein,breakfast,348,4,35,44
Iced Cinnamon Protein Pancakes recipes,high-protein,breakfast,237,2,12,41
Dashi,high-protein,breakfast,3,0,0,0
Stuffed Celery Snacks,high-protein,breakfast,152,1,16,19
Clean Eating Southwestern Breakfast Muffin,high-protein,breakfast,215,6,10,30
Key Lime Smoothie,high-protein,breakfast,103,2,8,13
Skinny Frittata with Smoked Salmon and Spi,high-protein,breakfast,128,4,5,18
Corn and prosciutto muffins with roasted tomatoes,high-protein,breakfast,199,8,5,25
Turkey Breakfast Sausage,high-protein,breakfast,173,9,1,23
Stars-and-Stripes Gelatin,high-protein,breakfast,344,6,16,57
Egg White Omelette - 3 Egg White Veggie Omelette,high-protein,breakfast,86,1,10,11
Piña Colada Smoothie,low-carb,breakfast,145,11,10,4
Gluten Free (and Paleo!) Granola recipes,low-carb,breakfast,703,55,47,17
Popper Croissants,low-carb,breakfast,454,42,7,12
Toasted Hazelnut Hot Chocolate,low-carb,breakfast,182,18,7,3
Recipe: Muffin-Pan Shepherd's Pie,low-carb,breakfast,232,18,4,14
"Biscuits and Gravy (Grain-Free, Paleo) recipes",low-carb,breakfast,325,26,11,13
Poppy Seed Bread,low-carb,breakfast,188,10,6,15
Elephant Ears,low-carb,breakfast,11,1,1,0
Almond Apple Grain Free Pancakes recipes,low-carb,breakfast,238,21,9,7
Bacon Biscuit Breakfast Bake,low-carb,breakfast,574,41,27,23
Coco-Cinnamon Smoothie,low-carb,breakfast,103,9,6,1
Loaded Scrambled Eggs for a Crowd Recipe,low-carb,breakfast,255,18,7,17
Baked Eggs (Muffin Tin),low-carb,breakfast,148,10,2,12
Yummy Breakfast Skillet - Food Network How Many Eggs?,low-carb,breakfast,468,31,20,27
Chinese New Year Pork and Yam,low-carb,breakfast,633,60,10,12
Lacinato Kale and Eggs Recipe (Black Kale),low-carb,breakfast,148,10,3,11
Paleo Chewy Granola Bars recipes,low-carb,breakfast,1183,101,64,21
Orange Chipotle-Spiced Pecan Mix,low-carb,breakfast,286,25,18,4
Salmon and Avocado Paté,low-carb,breakfast,185,15,2,12
"Sausage, Kale, & Cheddar Frittata",low-carb,breakfast,211,16,3,13
Cardamom pears,low-fat,breakfast,231,1,58,2
"Pineapple, Strawberry and Apricot Shake Recipe - How To Make Pineapple, Strawberry and Apricot Shake - How To Prepare Pineapple",low-fat,breakfast,122,2,26,3
Lemon-Ricotta Pancakes with Warm Summer Berries,low-fat,breakfast,202,3,36,9
Chocolate Oat Milk,low-fat,breakfast,226,4,45,7
Cocoa-Date Oatmeal,low-fat,breakfast,263,2,65,4
Berry Smoothie,low-fat,breakfast,145,1,35,3
Pumpkin Muffins Archives,low-fat,breakfast,264,2,58,3
Milk Free Oatmeal Pancakes (Whole Foods),low-fat,breakfast,39,0,6,3
Fruity Oatmeal Pancakes (Eggless & Dairy Free),low-fat,breakfast,294,4,60,8
Green Gazoogle,low-fat,breakfast,164,1,41,2
Boysenberry Jam,low-fat,breakfast,705,0,182,1
Pineapple Orange Smoothie recipes,low-fat,breakfast,87,0,21,1
Plum And Blackberry Juice recipes,low-fat,breakfast,128,0,32,1
Sunday Morning Oatmeal--Barefoot Contessa Ina Garten,low-fat,breakfast,340,5,69,8
Raspberry Thumbprint Breakfast Cookies,low-fat,breakfast,258,3,51,8
Blackberry Almond Smoothie Bowl,low-fat,breakfast,197,3,38,8
Power Bowl of Cereal,low-fat,breakfast,128,2,22,7
Perfect Quinoa recipes,low-fat,breakfast,209,3,36,8
Chocolate Banana Smoothie,low-fat,breakfast,170,2,40,4
Rosemary Pear Butter recipes,low-fat,breakfast,867,2,225,3
Low Fat Breakfast Casserole Recipe,balanced,lunch,205,7,27,9
Easy Gluten Free Pumpkin Spice Popovers recipes,balanced,lunch,317,13,43,11
Whole Wheat Peanut Butter Bread,balanced,lunch,195,9,25,7
Pumpkin Cardamom Waffles,balanced,lunch,249,8,37,10
Jalapeño Cheese Bread recipes,balanced,lunch,330,13,39,12
Apple & Raisin Oven Pancake,balanced,lunch,211,8,31,6
Simple Strawberry Smoothie with Banana and Yogurt,balanced,lunch,564,24,69,23
Vegan Almond Butter Banana Oatmeal Smoothie,balanced,lunch,363,13,61,10
Healthy Whole Wheat Pumpkin Pancakes recipes,balanced,lunch,326,10,52,9
Oat and Apple Pancakes With Yogurt,balanced,lunch,382,16,52,12
Velvet Apricot Oatmeal Smoothie recipes,balanced,lunch,246,11,34,7
Blueberry Banana Pie Vegan Overnight Oats,balanced,lunch,571,21,85,16
Pumpkin Spice Granola,balanced,lunch,281,8,49,7
Healthy Homemade Granola,balanced,lunch,576,26,77,17
Shakshuka Focaccia,balanced,lunch,266,12,31,12
Honey Raspberry Overnight Oatmeal,balanced,lunch,639,30,74,26
Savory Oat Potato Pancakes,balanced,lunch,159,6,19,7
National Granola Bar Day | Granola Maple B,balanced,lunch,342,10,56,10
Just Like Creamy Dannon Vanilla Yogurt ~ F,high-protein,lunch,56,0,7,9
Belgian Beef Stew With Beer,high-protein,lunch,304,12,9,38
Vegetarian Breakfast Sausage Patty recipes,high-protein,lunch,289,2,29,44
Soy Sauce-Poached Halibut Cheeks,high-protein,lunch,231,3,2,43
Chinese Poached Chicken with Soy Ginger Sauce,high-protein,lunch,263,6,16,34
Spinach Scramble,high-protein,lunch,87,4,1,11
Instant Pot Hard Boiled Eggs,high-protein,lunch,96,0,1,20
Soy-Wasabi Sauce,high-protein,lunch,25,0,3,4
Vegan Bacon Bits recipes,high-protein,lunch,93,0,8,14
BES Paleo Mini Muffin Quiches,high-protein,lunch,296,7,28,44
Paleo Whole30 Apple Cinnamon Breakfast Sausage,high-protein,lunch,174,9,2,22
"Egg Whites, Spinach & Ham Puff",high-protein,lunch,46,1,4,7
Spinach and Mushroom Frittata,low-carb,lunch,398,35,6,17
3-ingredient protein pancakes,low-carb,lunch,282,18,7,24
Yogurt Flax Protein Pancakes,low-carb,lunch,258,11,8,31
Bacon Brussels Sprout Skewers,low-carb,lunch,180,15,4,7
Nut-Free Trail Mix,low-carb,lunch,195,15,11,8
Weekend Breakfast Bake,low-carb,lunch,245,19,2,15
Suuuper Cheesy Keto Garlic Bread Muffins,low-carb,lunch,290,24,12,9
Clean Eating Spring Time Breakfast Casserole recipes,low-carb,lunch,387,21,15,34
Christmas Morning Slow Cooker Omelet,low-carb,lunch,415,30,7,30
Grandma's perfect scrambled eggs,low-carb,lunch,307,26,1,16
Maple Turkey Breakfast Sausage,low-carb,lunch,188,9,5,23
Sausage Breakfast Skillet with Sautéed Tomatoes and Basil,low-carb,lunch,910,65,42,41
Brian’s Pure Chili and Garlic Compound Butter,low-carb,lunch,105,10,3,1
